game_pk,game_date,season,home_team,away_team,home_win,elo_home_win_prob,bayesian_kalman_prob,gbm_ensemble_prob,monte_carlo_prob,meta_learner_prob
20150405000,2015-04-05,2015,CHC,STL,0,0.47388521215388435,0.4454492962814392,0.39895348283210347,0.42,0.39864019342640244
20150406000,2015-04-06,2015,DET,MIN,1,0.6039918107862359,0.655739988799846,0.7201462760810974,0.59015,0.7117885105940027
20150406001,2015-04-06,2015,HOU,CLE,1,0.46848344900928507,0.4378872076337412,0.47767743432917115,0.4613,0.4650009369740961
20150406002,2015-04-06,2015,KCR,CHW,1,0.5924919187141231,0.6431720486051069,0.6207714675685568,0.5123,0.6230050839293131
20150406003,2015-04-06,2015,NYY,TOR,0,0.5483440328684006,0.5558389659836055,0.5872548636783104,0.5791,0.5833758278508036
20150406004,2015-04-06,2015,OAK,TEX,1,0.5774048937609827,0.599763679062603,0.6259241960424311,0.5336,0.60974753850776
20150406005,2015-04-06,2015,SEA,LAA,1,0.4980157585208198,0.48986703347669425,0.6310689706882696,0.4559,0.5922880858088764
20150406006,2015-04-06,2015,TBR,BAL,0,0.4903385947070465,0.4350031425645659,0.6740304083375106,0.5818,0.6308122810920549
20150406007,2015-04-06,2015,ARI,SFG,0,0.4750026686642048,0.39211948136461333,0.3557119499072105,0.4908,0.37291294149639587
20150406008,2015-04-06,2015,CIN,PIT,1,0.49912799430076193,0.4470111196380203,0.4477599079574384,0.5948,0.469425725231068
20150406009,2015-04-06,2015,LAD,SDP,1,0.5882347475579255,0.6436533454467486,0.6960901831284327,0.55125,0.7030674519594821
20150406010,2015-04-06,2015,MIA,ATL,0,0.5140030755551712,0.5332262617565526,0.6084936165877338,0.42935,0.5623911501899348
20150406011,2015-04-06,2015,MIL,COL,0,0.5730742734630868,0.6078359021231424,0.5569135316030283,0.53415,0.5882127201264119
20150406012,2015-04-06,2015,PHI,BOS,0,0.5219289407151909,0.5380112392299246,0.37279554154782574,0.50315,0.41243906875495595
20150406013,2015-04-06,2015,WSN,NYM,0,0.589054277418307,0.648299745782789,0.6555767285166099,0.5514,0.6529729659803589
20150407000,2015-04-07,2015,OAK,TEX,0,0.5821463017859604,0.599763679062603,0.5373029610076544,0.5339,0.5668625285606066
20150407001,2015-04-07,2015,SEA,LAA,0,0.5037949837247039,0.48986703347669425,0.3880901447800064,0.45325,0.42133932723804446
20150407002,2015-04-07,2015,TBR,BAL,0,0.48469693891441107,0.4350031425645659,0.5392555454162093,0.5871,0.5156740791386059
20150407003,2015-04-07,2015,ARI,SFG,1,0.46955086447163813,0.39211948136461333,0.47569579650908916,0.4976,0.4559706960300088
20150407004,2015-04-07,2015,LAD,SDP,0,0.5928199293941309,0.6436533454467486,0.6500522095899277,0.55495,0.6329515698540791
20150407005,2015-04-07,2015,MIA,ATL,0,0.5080883526686427,0.5332262617565526,0.5578809003636738,0.4394,0.5170691373936979
20150407006,2015-04-07,2015,MIL,COL,0,0.5666053355846605,0.6078359021231424,0.3642071833852456,0.5357,0.41863837691215344
20150408000,2015-04-08,2015,DET,MIN,1,0.6083454256968148,0.655739988799846,0.35771973306590565,0.59295,0.4407902927541292
20150408001,2015-04-08,2015,HOU,CLE,0,0.4745828471645231,0.4378872076337412,0.34173585134793977,0.4624,0.3549942360875142
20150408002,2015-04-08,2015,KCR,CHW,1,0.5970150061519686,0.6431720486051069,0.3446011121533259,0.5113,0.4227932990985822
20150408003,2015-04-08,2015,NYY,TOR,1,0.5420826967014573,0.5558389659836055,0.6213982845625066,0.5806,0.6153600325145313
20150408004,2015-04-08,2015,OAK,TEX,1,0.5756110017523256,0.599763679062603,0.5887214907816055,0.52565,0.5888891248274073
20150408005,2015-04-08,2015,SEA,LAA,0,0.4979949113725689,0.48986703347669425,0.5438708679500417,0.46135,0.5373454367966619
20150408006,2015-04-08,2015,TBR,BAL,1,0.47912402226115897,0.4350031425645659,0.6524822003895085,0.587,0.6103058905291634
20150408007,2015-04-08,2015,ARI,SFG,0,0.4756394608039204,0.39211948136461333,0.4722529933106196,0.49635,0.4530654333699481
20150408008,2015-04-08,2015,CHC,STL,1,0.46844760657105156,0.4454492962814392,0.5444547333124158,0.4162,0.5251831307370507
20150408009,2015-04-08,2015,CIN,PIT,1,0.5048943379002181,0.4470111196380203,0.2928928485442753,0.57825,0.3556611119126857
20150408010,2015-04-08,2015,LAD,SDP,1,0.5862137178155967,0.6436533454467486,0.44601702201178234,0.5618,0.44995686897013965
20150408011,2015-04-08,2015,MIA,ATL,0,0.5022394600332863,0.5332262617565526,0.4652693534675696,0.42905,0.4311661883975873
20150408012,2015-04-08,2015,MIL,COL,0,0.5601870163774841,0.6078359021231424,0.589050016803345,0.5308,0.5982199567687178
20150408013,2015-04-08,2015,PHI,BOS,1,0.5159286966457604,0.5380112392299246,0.43789368518196614,0.51195,0.4478169056961467
20150408014,2015-04-08,2015,WSN,NYM,1,0.5824721788575921,0.648299745782789,0.42053659060029175,0.56275,0.46633386123721576
20150409000,2015-04-09,2015,DET,MIN,1,0.6126342933436563,0.655739988799846,0.37252849509316377,0.5856,0.45503396097972326
20150409001,2015-04-09,2015,HOU,CLE,0,0.4691363737868266,0.4378872076337412,0.5023896704320834,0.46285,0.48516500271978263
20150409002,2015-04-09,2015,KCR,CHW,1,0.6014717239979995,0.6431720486051069,0.5497907146328033,0.5141,0.5908524210882248
20150409003,2015-04-09,2015,NYY,TOR,0,0.5473124849635785,0.5558389659836055,0.520973498231278,0.5755,0.5313611641432986
